d000.s00000.t00000 bn:00106124a
d000.s13551.t00003 bn:00017234n
d000.s13551.t00004 bn:00001937n
d000.s13552.t00000 bn:00009316n
d000.s13552.t00001 bn:00107267a
d000.s13552.t00002 bn:00025419n
d000.s13552.t00003 bn:00114369r
d000.s13552.t00004 bn:00100902a
d000.s13552.t00005 bn:00070830n
d000.s13552.t00006 bn:00090321v
d000.s13552.t00007 bn:00084834v
d000.s13552.t00008 bn:00032045n
d000.s13552.t00009 bn:00089083v
d000.s13552.t00010 bn:00027862n
d000.s13553.t00000 bn:00061605n
d000.s13553.t00001 bn:00017234n
d000.s13553.t00002 bn:00092756v
d000.s13553.t00003 bn:00019637n
d000.s13553.t00004 bn:00072943n
d000.s13553.t00005 bn:00053801n
d000.s13553.t00006 bn:00096219a
d000.s13553.t00007 bn:00033854n
d000.s13553.t00008 bn:00052910n
d000.s13553.t00009 bn:00083340v
d000.s13553.t00010 bn:00104384a
d000.s13553.t00011 bn:00051047n
d000.s13554.t00000 bn:00017719n
d000.s13554.t00001 bn:00016360n
d000.s13554.t00002 bn:00030401n
d000.s13554.t00003 bn:00058442n
d000.s13554.t00004 bn:00006911n
d000.s13554.t00005 bn:00047754n
d000.s13554.t00006 bn:00013326n
d000.s13555.t00000 bn:00087109v
d000.s13555.t00001 bn:00017234n
d000.s13555.t00002 bn:00086683v
d000.s13556.t00000 bn:00101973a
d000.s13556.t00001 bn:00045925n
d000.s13556.t00002 bn:00031261n
d000.s13556.t00003 bn:00064584n
d000.s13556.t00004 bn:00102303a
d000.s13557.t00000 bn:00019637n
d000.s13557.t00001 bn:00006734n
d000.s13557.t00002 bn:00045925n
d000.s13557.t00003 bn:00053215n
d000.s13557.t00004 bn:00103785a
d000.s13557.t00005 bn:00019384n
d000.s13557.t00006 bn:00064584n
d000.s13557.t00007 bn:00061898n
d000.s13558.t00000 bn:00019384n
d000.s13558.t00001 bn:00067567n
d000.s13559.t00000 bn:00067567n
d000.s13559.t00001 bn:00017234n
d000.s13560.t00000 bn:00031261n
d000.s13560.t00001 bn:00114216r
d000.s13561.t00000 bn:00099598a
d000.s13561.t00001 bn:00000724n
d000.s13561.t00002 bn:00004945n
d000.s13561.t00003 bn:00061054n
d000.s13562.t00000 bn:00019637n
d000.s13562.t00001 bn:00017234n
d000.s13562.t00002 bn:00059480n
d000.s13562.t00003 bn:00077860n
d000.s13562.t00004 bn:00083340v
d000.s13562.t00005 bn:00025995n
d000.s13562.t00006 bn:00103785a
d000.s13562.t00007 bn:00023248n
d000.s13562.t00008 bn:00092103v
d000.s13563.t00000 bn:00012135n
d000.s13563.t00001 bn:00085261v
d000.s13563.t00002 bn:00105981a
d000.s13563.t00003 bn:00032661n
d000.s13563.t00004 bn:00110277a
d000.s13563.t00005 bn:00017234n
d000.s13564.t00000 bn:00001533n
d000.s13564.t00001 bn:00061605n
d000.s13564.t00002 bn:00000639n
d000.s13564.t00003 bn:00082199v
d000.s13565.t00000 bn:00017269n
d000.s13565.t00001 bn:00060927n
d000.s13565.t00002 bn:00107267a
d000.s13565.t00003 bn:00045800n
d000.s13565.t00004 bn:00063196n
d000.s13565.t00005 bn:00045925n
d000.s13566.t00000 bn:00107787a
d000.s13566.t00001 bn:00107267a
d000.s13566.t00002 bn:00094591v
d000.s13566.t00003 bn:00017730n
d000.s13566.t00004 bn:00025646n
d000.s13566.t00005 bn:00017234n
d000.s13566.t00006 bn:00085648v
d000.s13566.t00007 bn:00061898n
d000.s13566.t00008 bn:00103785a
d000.s13566.t00009 bn:00019384n
d000.s13567.t00000 bn:00027913n
d000.s13567.t00001 bn:00016360n
d000.s13567.t00002 bn:00072566n
d000.s13567.t00003 bn:00063351n
d000.s13567.t00004 bn:00086459v
d000.s13567.t00005 bn:00114234r
d000.s13567.t00006 bn:00001937n
d000.s13567.t00007 bn:00067567n
d000.s13568.t00000 bn:00029463n
d000.s13568.t00001 bn:00114246r
d000.s13568.t00002 bn:00061898n
d000.s13569.t00000 bn:00029463n
d000.s13569.t00001 bn:00019637n
d000.s13569.t00002 bn:00056669n
d000.s13569.t00003 bn:00026696n
d000.s13569.t00004 bn:00030401n
d000.s13569.t00005 bn:00114216r
d000.s13569.t00006 bn:00000724n
d000.s13569.t00007 bn:00025646n
d000.s13569.t00008 bn:00114626r
d000.s13569.t00009 bn:00032101n
d000.s13570.t00000 bn:00079628n
d000.s13570.t00001 bn:00045925n
d000.s13570.t00002 bn:00060927n
d000.s13571.t00000 bn:00019637n
d000.s13571.t00001 bn:00017234n
d000.s13572.t00000 bn:00079628n
d000.s13572.t00001 bn:00078738n
d000.s13572.t00002 bn:00033729n
d000.s13572.t00003 bn:00105751a
d000.s13572.t00004 bn:00096104a
d000.s13572.t00005 bn:00017234n
d000.s13572.t00006 bn:00019637n
d000.s13572.t00007 bn:00006182n
d000.s13572.t00008 bn:00109485a
d000.s13573.t00000 bn:00079628n
d000.s13573.t00001 bn:00087671v
d000.s13573.t00002 bn:00021751n
d000.s13573.t00003 bn:00070497n
d000.s13573.t00004 bn:00033729n
d000.s13574.t00000 bn:00096583a
d000.s13574.t00001 bn:00109073a
d000.s13574.t00002 bn:00006382n
d000.s13574.t00003 bn:00030922n
d000.s13574.t00004 bn:00085648v
d000.s13575.t00000 bn:00017234n
d000.s13575.t00001 bn:00001533n
d000.s13575.t00002 bn:00070497n
d000.s13575.t00003 bn:00059305n
d000.s13575.t00004 bn:00009503n
d000.s13575.t00005 bn:00092471v
d000.s13576.t00000 bn:00082442v
d000.s13576.t00001 bn:00015704n
d000.s13577.t00000 bn:00017269n
d000.s13577.t00001 bn:00051291n
d000.s13577.t00002 bn:00009716n
d000.s13577.t00003 bn:00059307n
d000.s13577.t00004 bn:00022991n
d000.s13578.t00000 bn:00079628n
d000.s13578.t00001 bn:00083725v
d000.s13578.t00002 bn:00096583a
d000.s13578.t00003 bn:00103785a
d000.s13578.t00004 bn:00019384n
d000.s13578.t00005 bn:00062309n
d000.s13578.t00006 bn:00114281r
d000.s13578.t00007 bn:00061898n
d000.s13578.t00008 bn:00033729n
d000.s13579.t00000 bn:00110842a
d000.s13579.t00001 bn:00082226v
d000.s13579.t00002 bn:00098342a
d000.s13579.t00003 bn:00054018n
d000.s13580.t00000 bn:00017269n
d000.s13580.t00001 bn:00107787a
d000.s13580.t00002 bn:00025765n
d000.s13580.t00003 bn:00035909n
d000.s13581.t00000 bn:00079628n
d000.s13581.t00001 bn:00017234n
d000.s13581.t00002 bn:00004945n
d000.s13581.t00003 bn:00001557n
d000.s13582.t00000 bn:00114216r
d000.s13582.t00001 bn:00107267a
d000.s13582.t00002 bn:00053801n
d000.s13582.t00003 bn:00082317v
d000.s13583.t00000 bn:00060198n
d000.s13583.t00001 bn:00079628n
d000.s13583.t00002 bn:00020726n
d000.s13583.t00003 bn:00075373n
d000.s13583.t00004 bn:00085903v
d000.s13583.t00005 bn:00083340v
d000.s13584.t00000 bn:00051291n
d000.s13584.t00001 bn:00026537n
d000.s13584.t00002 bn:00057015n
d000.s13584.t00003 bn:00010605n
d000.s13584.t00004 bn:00068424n
d000.s13584.t00005 bn:00004222n
d000.s13584.t00006 bn:00019980n
d000.s13584.t00007 bn:00017269n
d000.s13584.t00008 bn:00084120v
d000.s13585.t00000 bn:00010605n
d000.s13585.t00001 bn:00007498n
d000.s13585.t00002 bn:00036552n
d000.s13585.t00003 bn:00116211r
d000.s13585.t00004 bn:00019980n
d000.s13585.t00005 bn:00079628n
d000.s13585.t00006 bn:00064584n
d000.s13585.t00007 bn:00114216r
d000.s13586.t00000 bn:00086714v
d000.s13586.t00001 bn:00082690v
d000.s13586.t00002 bn:00082691v
d000.s13586.t00003 bn:00032367n
d000.s13586.t00004 bn:00019637n
d000.s13586.t00005 bn:00017234n
d000.s13587.t00000 bn:00053801n
d000.s13587.t00001 bn:00017269n
d000.s13587.t00002 bn:00089083v
d000.s13587.t00003 bn:00064584n
d000.s13587.t00004 bn:00089666v
d000.s13587.t00005 bn:00035414n
d000.s13587.t00006 bn:00033729n
d000.s13587.t00007 bn:00097350a
d000.s13588.t00000 bn:00032099n
d000.s13588.t00001 bn:00062309n
d000.s13588.t00002 bn:00069622n
d000.s13589.t00000 bn:00104766a
d000.s13589.t00001 bn:00012965n
d000.s13589.t00002 bn:00037439n
d000.s13590.t00000 bn:00050541n
d000.s13590.t00001 bn:00114281r
d000.s13590.t00002 bn:00088096v
d000.s13590.t00003 bn:00011744n
d000.s13590.t00004 bn:00005702n
d000.s13590.t00005 bn:00089277v
d000.s13591.t00000 bn:00035182n
d000.s13591.t00001 bn:00100441a
d000.s13591.t00002 bn:00042759n
d000.s13592.t00000 bn:00018346n
d000.s13593.t00000 bn:00100948a
d000.s13593.t00001 bn:00018346n
d000.s13593.t00002 bn:00027448n
d000.s13594.t00000 bn:00090224v
d000.s13594.t00001 bn:00009472n
d000.s13594.t00002 bn:00104589a
d000.s13595.t00000 bn:00093776v
d000.s13595.t00001 bn:00009472n
d000.s13595.t00002 bn:00040878n
d000.s13595.t00003 bn:00090322v
d000.s13596.t00000 bn:00040878n
d000.s13596.t00001 bn:00018346n
d000.s13596.t00002 bn:00084389v
d000.s13596.t00003 bn:00092723v
d000.s13597.t00000 bn:00057219n
d000.s13597.t00001 bn:00084389v
d000.s13597.t00002 bn:00014640n
d000.s13598.t00000 bn:00000100n
d000.s13599.t00000 bn:00078424n
d000.s13599.t00001 bn:00116326r
d000.s13599.t00002 bn:00000100n
d000.s13600.t00000 bn:00036855n
d000.s13600.t00001 bn:00018995n
d000.s13600.t00002 bn:00012524n
d000.s13600.t00003 bn:00109358a
d000.s13600.t00004 bn:00032893n
d000.s13600.t00005 bn:00060967n
d000.s13601.t00000 bn:00090946v
d000.s13601.t00001 bn:00027898n
d000.s13601.t00002 bn:00007921n
d000.s13602.t00000 bn:00025582n
d000.s13602.t00001 bn:00106060a
d000.s13602.t00002 bn:00018346n
d000.s13602.t00003 bn:00082197v
d000.s13603.t00000 bn:00040878n
d000.s13603.t00001 bn:00084389v
d000.s13603.t00002 bn:00093287v
d000.s13604.t00000 bn:00040878n
d000.s13604.t00001 bn:00084733v
d000.s13605.t00000 bn:00050802n
d000.s13605.t00001 bn:00090142v
d000.s13605.t00002 bn:00082197v
d000.s13605.t00003 bn:00018346n
d000.s13605.t00004 bn:00025582n
d000.s13605.t00005 bn:00040878n
d000.s13606.t00000 bn:00082197v
d000.s13606.t00001 bn:00026577n
d000.s13606.t00002 bn:00082602v
d000.s13606.t00003 bn:00040878n
d000.s13607.t00000 bn:00089385v
d000.s13607.t00001 bn:00050802n
d000.s13607.t00002 bn:00081546n
d000.s13607.t00003 bn:00090142v
d000.s13608.t00000 bn:00089240v
d000.s13608.t00001 bn:00029239n
d000.s13608.t00002 bn:00001019n
d000.s13608.t00003 bn:00012571n
d000.s13609.t00000 bn:00085319v
d000.s13609.t00001 bn:00093776v
d000.s13609.t00002 bn:00093573v
d000.s13609.t00003 bn:00032512n
d000.s13609.t00004 bn:00012287n
d000.s13610.t00000 bn:00043484n
d000.s13610.t00001 bn:00009472n
d000.s13610.t00002 bn:00054997n
d000.s13611.t00000 bn:00098342a
d000.s13611.t00001 bn:00044994n
d000.s13611.t00002 bn:00087864v
d000.s13611.t00003 bn:00030581n
d000.s13611.t00004 bn:00029239n
d000.s13612.t00000 bn:00084856v
d000.s13613.t00000 bn:00089384v
d000.s13613.t00001 bn:00068233n
d000.s13613.t00002 bn:00007652n
d000.s13613.t00003 bn:00034453n
d000.s13613.t00004 bn:00082844v
d000.s13613.t00005 bn:00007630n
d000.s13614.t00000 bn:00051760n
d000.s13614.t00001 bn:00006386n
d000.s13614.t00002 bn:00082815v
d000.s13614.t00003 bn:00007630n
d000.s13614.t00004 bn:00050802n
d000.s13615.t00000 bn:00042761n
d000.s13615.t00001 bn:00093430v
d000.s13615.t00002 bn:00085261v
d000.s13616.t00000 bn:00056068n
d000.s13617.t00000 bn:00082844v
d000.s13617.t00001 bn:00024488n
d000.s13617.t00002 bn:00011737n
d000.s13617.t00003 bn:00050802n
d000.s13617.t00004 bn:00083184v
d000.s13618.t00000 bn:00072698n
d000.s13619.t00000 bn:00087128v
d000.s13619.t00001 bn:00001875n
d000.s13620.t00000 bn:00050793n
d000.s13620.t00001 bn:00092969v
d000.s13621.t00000 bn:00012569n
d000.s13621.t00001 bn:00082122v
d000.s13622.t00000 bn:00090504v
d000.s13622.t00001 bn:00090852v
d000.s13623.t00000 bn:00093013v
d000.s13623.t00001 bn:00031998n
d000.s13624.t00000 bn:00083796v
d000.s13624.t00001 bn:00012770n
d000.s13624.t00002 bn:00036855n
d000.s13625.t00000 bn:00085261v
d000.s13625.t00001 bn:00114216r
d000.s13626.t00000 bn:00089277v
d000.s13626.t00001 bn:00093287v
d000.s13627.t00000 bn:00107786a
d000.s13627.t00001 bn:00028030n
d000.s13628.t00000 bn:00085261v
d000.s13628.t00001 bn:00100975a
d000.s13629.t00000 bn:00062972n
d000.s13629.t00001 bn:00081031n
d000.s13630.t00000 bn:00093287v
d000.s13631.t00000 bn:00093013v
d000.s13631.t00001 bn:00042081n
d000.s13632.t00000 bn:00093287v
d000.s13633.t00000 bn:00032512n
d000.s13633.t00001 bn:00020858n
d000.s13633.t00002 bn:00000086n
d000.s13634.t00000 bn:00045800n
d000.s13634.t00001 bn:00098606a
d000.s13634.t00002 bn:00051109n
d000.s13634.t00003 bn:00111281a
d000.s13634.t00004 bn:00093430v
d000.s13634.t00005 bn:00084272v
d000.s13634.t00006 bn:00089277v
d000.s13634.t00007 bn:00031301n
d000.s13634.t00008 bn:00007205n
d000.s13635.t00000 bn:00083340v
d000.s13635.t00001 bn:00093013v
d000.s13635.t00002 bn:00025236n
d000.s13635.t00003 bn:00068762n
d000.s13636.t00000 bn:00089277v
d000.s13636.t00001 bn:00062019n
d000.s13636.t00002 bn:00067975n
d000.s13636.t00003 bn:00082963v
d000.s13636.t00004 bn:00095597v
d000.s13636.t00005 bn:00044994n
d000.s13637.t00000 bn:00083293v
d000.s13637.t00001 bn:00004352n
d000.s13637.t00002 bn:00094927v
d000.s13638.t00000 bn:00078425n
d000.s13638.t00001 bn:00103178a
d000.s13639.t00000 bn:00001744n
d000.s13639.t00001 bn:00104348a
d000.s13639.t00002 bn:00025419n
d000.s13640.t00000 bn:00075151n
d000.s13640.t00001 bn:00093430v
d000.s13640.t00002 bn:00032600n
d000.s13640.t00003 bn:00068525n
d000.s13640.t00004 bn:00059150n
d000.s13641.t00000 bn:00069620n
d000.s13641.t00001 bn:00095597v
d000.s13641.t00002 bn:00046282n
d000.s13641.t00003 bn:00099982a
d000.s13641.t00004 bn:00081680n
d000.s13642.t00000 bn:00101358a
d000.s13642.t00001 bn:00082735v
d000.s13643.t00000 bn:00101358a
d000.s13643.t00001 bn:00085261v
d000.s13643.t00002 bn:00090852v
d000.s13643.t00003 bn:00009616n
d000.s13644.t00000 bn:00082844v
d000.s13644.t00001 bn:00082481v
d000.s13645.t00000 bn:00077267n
d000.s13645.t00001 bn:00088912v
d000.s13645.t00002 bn:00011008n
d000.s13645.t00003 bn:00117320r
d000.s13645.t00004 bn:00056135n
d000.s13645.t00005 bn:00005702n
d000.s13645.t00006 bn:00032600n
d000.s13645.t00007 bn:00084302v
d000.s13645.t00008 bn:00025419n
d000.s13646.t00000 bn:00107267a
d000.s13646.t00001 bn:00083336v
d000.s13647.t00000 bn:00082481v
d000.s13647.t00001 bn:00035383n
d000.s13647.t00002 bn:00117070r
d000.s13647.t00003 bn:00093776v
d000.s13647.t00004 bn:00110624a
d000.s13647.t00005 bn:00031998n
d000.s13647.t00006 bn:00009524n
d000.s13647.t00007 bn:00095812v
d000.s13647.t00008 bn:00075151n
d000.s13648.t00000 bn:00088912v
d000.s13649.t00000 bn:00082963v
d000.s13649.t00001 bn:00050802n
d000.s13650.t00000 bn:00095847v
d000.s13650.t00001 bn:00026163n
d000.s13650.t00002 bn:00086699v
d000.s13651.t00000 bn:00095847v
d000.s13651.t00001 bn:00109485a
d000.s13651.t00002 bn:00095802v
d000.s13652.t00000 bn:00085319v
d000.s13652.t00001 bn:00022333n
d000.s13652.t00002 bn:00107267a
d000.s13652.t00003 bn:00029050n
d000.s13652.t00004 bn:00104562a
d000.s13652.t00005 bn:00077931n
d000.s13653.t00000 bn:00086278v
d000.s13653.t00001 bn:00008351n
d000.s13654.t00000 bn:00116326r
d000.s13654.t00001 bn:00077931n
d000.s13655.t00000 bn:00058420n
d000.s13655.t00001 bn:00052218n
d000.s13655.t00002 bn:00114246r
d000.s13656.t00000 bn:00058420n
d000.s13657.t00000 bn:00100594a
d000.s13657.t00001 bn:00050198n
d000.s13657.t00002 bn:00093287v
d000.s13658.t00000 bn:00089105v
d000.s13658.t00001 bn:00114245r
d000.s13658.t00002 bn:00019848n
d000.s13659.t00000 bn:00034027n
d000.s13659.t00001 bn:00025582n
d000.s13659.t00002 bn:00007630n
d000.s13659.t00003 bn:00098224a
d000.s13659.t00004 bn:00012571n
d000.s13659.t00005 bn:00054992n
d000.s13659.t00006 bn:00021287n
d000.s13659.t00007 bn:00009616n
d000.s13660.t00000 bn:00054991n
d000.s13661.t00000 bn:00032654n
d000.s13661.t00001 bn:00107262a
d000.s13661.t00002 bn:00082957v
d000.s13661.t00003 bn:00032675n
d000.s13662.t00000 bn:00043378n
d000.s13662.t00001 bn:00079476n
d000.s13663.t00000 bn:00057546n
d000.s13664.t00000 bn:00085261v
d000.s13664.t00001 bn:00020858n
d000.s13665.t00000 bn:00000086n
d000.s13665.t00001 bn:00089240v
d000.s13665.t00002 bn:00089996v
d000.s13666.t00000 bn:00095777v
d000.s13667.t00000 bn:00083183v
d000.s13667.t00001 bn:00051508n
d000.s13668.t00000 bn:00082963v
d000.s13668.t00001 bn:00050802n
d000.s13669.t00000 bn:00088912v
d000.s13669.t00001 bn:00023757n
d000.s13669.t00002 bn:00044141n
d000.s13669.t00003 bn:00044994n
d000.s13669.t00004 bn:00078365n
d000.s13669.t00005 bn:00008097n
d000.s13669.t00006 bn:00084715v
d000.s13670.t00000 bn:00093430v
d000.s13670.t00001 bn:00028329n
d000.s13670.t00002 bn:00058810n
d000.s13671.t00000 bn:00092443v
d000.s13671.t00001 bn:00061149n
d000.s13672.t00000 bn:00043484n
d000.s13672.t00001 bn:00031345n
d000.s13672.t00002 bn:00093430v
d000.s13672.t00003 bn:00072698n
d000.s13673.t00000 bn:00114245r
d000.s13673.t00001 bn:00090485v
d000.s13674.t00000 bn:00082448v
d000.s13674.t00001 bn:00078365n
d000.s13675.t00000 bn:00084413v
d000.s13675.t00001 bn:00004352n
d000.s13675.t00002 bn:00073853n
d000.s13676.t00000 bn:00093430v
d000.s13676.t00001 bn:00032600n
d000.s13676.t00002 bn:00062507n
d000.s13676.t00003 bn:00032148n
d000.s13676.t00004 bn:00093170v
d000.s13676.t00005 bn:00042663n
d000.s13676.t00006 bn:00049248n
d000.s13677.t00000 bn:00089154v
d000.s13677.t00001 bn:00107879a
d000.s13677.t00002 bn:00028247n
d000.s13677.t00003 bn:00042759n
d000.s13677.t00004 bn:00056135n
d000.s13678.t00000 bn:00085319v
d000.s13678.t00001 bn:00004493n
d000.s13678.t00002 bn:00093430v
d000.s13678.t00003 bn:00028248n
d000.s13678.t00004 bn:00032600n
d000.s13678.t00005 bn:00006386n
d000.s13679.t00000 bn:00089039v
d000.s13680.t00000 bn:00084058v
d000.s13680.t00001 bn:00071383n
d000.s13681.t00000 bn:00089154v
d000.s13681.t00001 bn:00007630n
d000.s13681.t00002 bn:00086933v
d000.s13682.t00000 bn:00027976n
d000.s13683.t00000 bn:00093287v
d000.s13683.t00001 bn:00087864v
d000.s13683.t00002 bn:00085261v
d000.s13684.t00000 bn:00088912v
d000.s13684.t00001 bn:00088939v
d000.s13685.t00000 bn:00032512n
d000.s13686.t00000 bn:00085261v
d000.s13686.t00001 bn:00089874v
d000.s13687.t00000 bn:00059303n
d000.s13687.t00001 bn:00089240v
d000.s13688.t00000 bn:00088939v
d000.s13689.t00000 bn:00032512n
d000.s13689.t00001 bn:00083455v
d000.s13689.t00002 bn:00030581n
d000.s13689.t00003 bn:00084733v
d000.s13690.t00000 bn:00110561a
d000.s13691.t00000 bn:00100441a
d000.s13691.t00001 bn:00093287v
d000.s13691.t00002 bn:00082844v
d000.s13692.t00000 bn:00084058v
d000.s13692.t00001 bn:00050650n
d000.s13692.t00002 bn:00104589a
d000.s13692.t00003 bn:00093776v
d000.s13692.t00004 bn:00098342a
d000.s13692.t00005 bn:00078131n
d000.s13692.t00006 bn:00035383n
d000.s13693.t00000 bn:00084388v
d000.s13693.t00001 bn:00060204n
d000.s13693.t00002 bn:00037749n
d000.s13693.t00003 bn:00098606a
d000.s13693.t00004 bn:00082844v
d000.s13693.t00005 bn:00086122v
d000.s13694.t00000 bn:00051440n
d000.s13695.t00000 bn:00086682v
d000.s13696.t00000 bn:00027131n
d000.s13696.t00001 bn:00034453n
d000.s13697.t00000 bn:00090143v
d000.s13697.t00001 bn:00057650n
d000.s13698.t00000 bn:00072080n
d000.s13699.t00000 bn:00089241v
d000.s13700.t00000 bn:00093287v
d000.s13700.t00001 bn:00032600n
d000.s13700.t00002 bn:00104766a
d000.s13700.t00003 bn:00089384v
d000.s13700.t00004 bn:00082844v
d000.s13700.t00005 bn:00000825n
d000.s13700.t00006 bn:00080185n
d000.s13700.t00007 bn:00081546n
d000.s13701.t00000 bn:00028015n
d000.s13701.t00001 bn:00085614v
d000.s13702.t00000 bn:00078102n
d000.s13702.t00001 bn:00085261v
d000.s13702.t00002 bn:00106060a
d000.s13702.t00003 bn:00034021n
d000.s13703.t00000 bn:00049248n
d000.s13703.t00001 bn:00069164n
d000.s13703.t00002 bn:00061183n
d000.s13704.t00000 bn:00089407v
d000.s13704.t00001 bn:00061183n
d000.s13704.t00002 bn:00044994n
d000.s13704.t00003 bn:00093287v
d000.s13705.t00000 bn:00093430v
d000.s13705.t00001 bn:00116052r
d000.s13705.t00002 bn:00048023n
d000.s13705.t00003 bn:00087460v
d000.s13706.t00000 bn:00085261v
d000.s13707.t00000 bn:00049248n
d000.s13707.t00001 bn:00104589a
d000.s13707.t00002 bn:00053531n
d000.s13707.t00003 bn:00092424v
d000.s13708.t00000 bn:00050541n
d000.s13708.t00001 bn:00106125a
d000.s13708.t00002 bn:00074427n
d000.s13708.t00003 bn:00093776v
d000.s13709.t00000 bn:00093287v
d000.s13710.t00000 bn:00062878n
d000.s13710.t00001 bn:00007847n
d000.s13710.t00002 bn:00071766n
d000.s13711.t00000 bn:00093287v
d000.s13712.t00000 bn:00092443v
d000.s13713.t00000 bn:00090448v
d000.s13713.t00001 bn:00022737n
d000.s13714.t00000 bn:00005007n
d000.s13714.t00001 bn:00035304n
d000.s13714.t00002 bn:00009472n
d000.s13715.t00000 bn:00032512n
d000.s13715.t00001 bn:00050541n
d000.s13715.t00002 bn:00083404v
d000.s13716.t00000 bn:00019848n
d000.s13716.t00001 bn:00084651v
d000.s13716.t00002 bn:00074376n
d000.s13717.t00000 bn:00050541n
d000.s13718.t00000 bn:00089240v
d000.s13719.t00000 bn:00108605a
d000.s13719.t00001 bn:00027573n
d000.s13719.t00002 bn:00071766n
d000.s13720.t00000 bn:00051508n
d000.s13720.t00001 bn:00023154n
d000.s13721.t00000 bn:00042759n
d000.s13722.t00000 bn:00061334n
d000.s13722.t00001 bn:00082368v
d000.s13722.t00002 bn:00063222n
d000.s13722.t00003 bn:00095849v
d000.s13722.t00004 bn:00005007n
d000.s13723.t00000 bn:00087365v
d000.s13724.t00000 bn:00005180n
d000.s13725.t00000 bn:00012465n
d000.s13726.t00000 bn:00005702n
d000.s13726.t00001 bn:00017395n
d000.s13727.t00000 bn:00086682v
d000.s13728.t00000 bn:00090400v
d000.s13729.t00000 bn:00083370v
d000.s13729.t00001 bn:00098342a
d000.s13729.t00002 bn:00044994n
d000.s13730.t00000 bn:00093287v
d000.s13730.t00001 bn:00068233n
d000.s13731.t00000 bn:00083184v
d000.s13731.t00001 bn:00030098n
d000.s13731.t00002 bn:00093287v
d000.s13732.t00000 bn:00083184v
d000.s13732.t00001 bn:00004836n
d000.s13732.t00002 bn:00018346n
d000.s13733.t00000 bn:00027976n
d000.s13733.t00001 bn:00093287v
d000.s13734.t00000 bn:00089805v
d000.s13735.t00000 bn:00089105v
d000.s13736.t00000 bn:00089805v
d000.s13736.t00001 bn:00018346n
d000.s13737.t00000 bn:00094053v
d000.s13737.t00001 bn:00114245r
d000.s13737.t00002 bn:00083184v
d000.s13738.t00000 bn:00005702n
d000.s13738.t00001 bn:00080339n
d000.s13739.t00000 bn:00077267n
d000.s13740.t00000 bn:00077267n
d000.s13741.t00000 bn:00078738n
d000.s13741.t00001 bn:00047960n
d000.s13742.t00000 bn:00078738n
d000.s13743.t00000 bn:00089401v
d000.s13744.t00000 bn:00093287v
d000.s13744.t00001 bn:00083340v
d000.s13744.t00002 bn:00114079r
d000.s13744.t00003 bn:00103601a
d000.s13744.t00004 bn:00115274r
d000.s13745.t00000 bn:00071766n
d000.s13745.t00001 bn:00042759n
d000.s13745.t00002 bn:00083340v
d000.s13746.t00000 bn:00115274r
d000.s13746.t00001 bn:00084733v
d000.s13747.t00000 bn:00083369v
d000.s13747.t00001 bn:00041881n
d000.s13748.t00000 bn:00082690v
d000.s13748.t00001 bn:00103672a
d000.s13748.t00002 bn:00041881n
d000.s13748.t00003 bn:00018346n
d000.s13749.t00000 bn:00087128v
d000.s13749.t00001 bn:00018345n
d000.s13750.t00000 bn:00086682v
d000.s13750.t00001 bn:00014138n
d000.s13750.t00002 bn:00089407v
d000.s13751.t00000 bn:00087189v
d000.s13751.t00001 bn:00089277v
d000.s13751.t00002 bn:00042379n
d000.s13752.t00000 bn:00093776v
d000.s13752.t00001 bn:00042759n
d000.s13752.t00002 bn:00009868n
d000.s13752.t00003 bn:00007727n
d000.s13752.t00004 bn:00020849n
d000.s13752.t00005 bn:00012339n
d000.s13752.t00006 bn:00000855n
d000.s13753.t00000 bn:00110036a
d000.s13753.t00001 bn:00025417n
d000.s13753.t00002 bn:00116326r
d000.s13753.t00003 bn:00099475a
d000.s13753.t00004 bn:00007727n
d000.s13753.t00005 bn:00033729n
d000.s13753.t00006 bn:00083403v
d000.s13754.t00000 bn:00004493n
d000.s13755.t00000 bn:00052341n
d000.s13755.t00001 bn:00085471v
d000.s13756.t00000 bn:00094275v
d000.s13756.t00001 bn:00055261n
d000.s13756.t00002 bn:00057149n
d000.s13757.t00000 bn:00103764a
d000.s13757.t00001 bn:00078730n
d000.s13757.t00002 bn:00041606n
d000.s13757.t00003 bn:00090321v
d000.s13757.t00004 bn:00009850n
d000.s13758.t00000 bn:00085261v
d000.s13758.t00001 bn:00089105v
d000.s13758.t00002 bn:00005007n
d000.s13758.t00003 bn:00093287v
d000.s13759.t00000 bn:00020184n
d000.s13760.t00000 bn:00083185v
d000.s13760.t00001 bn:00051423n
d000.s13760.t00002 bn:00071294n
d000.s13761.t00000 bn:00019955n
d000.s13761.t00001 bn:00087128v
d000.s13762.t00000 bn:00071294n
d000.s13762.t00001 bn:00007727n
d000.s13762.t00002 bn:00106125a
d000.s13763.t00000 bn:00013489n
d000.s13763.t00001 bn:00017718n
d000.s13763.t00002 bn:00032512n
d000.s13764.t00000 bn:00090224v
d000.s13764.t00001 bn:00017718n
d000.s13765.t00000 bn:00114281r
d000.s13765.t00001 bn:00090448v
d000.s13765.t00002 bn:00087234v
d000.s13766.t00000 bn:00093430v
d000.s13766.t00001 bn:00005007n
d000.s13766.t00002 bn:00033729n
d000.s13767.t00000 bn:00077773n
d000.s13767.t00001 bn:00103672a
d000.s13767.t00002 bn:00071177n
d000.s13768.t00000 bn:00042759n
