d000.s00000.t00000 bn:00058442n
d000.s03324.t00000 bn:00107117a
d000.s03325.t00000 bn:00100112a
d000.s03326.t00000 bn:00100112a
d000.s03327.t00000 bn:00106169a
d000.s03328.t00000 bn:00104843a
d000.s03329.t00000 bn:00104843a
d000.s03330.t00000 bn:00100125a
d000.s03331.t00000 bn:00100126a
d000.s03332.t00000 bn:00103983a
d000.s03333.t00000 bn:00102277a
d000.s03334.t00000 bn:00102278a
d000.s03335.t00000 bn:00102278a
d000.s03336.t00000 bn:00100088a
d000.s03337.t00000 bn:00101296a
d000.s03338.t00000 bn:00101296a
d000.s03339.t00000 bn:00100154a
d000.s03340.t00000 bn:00100161a
d000.s03341.t00000 bn:00104854a
d000.s03342.t00000 bn:00110984a
d000.s03343.t00000 bn:00110984a
d000.s03344.t00000 bn:00100191a
d000.s03345.t00000 bn:00098855a
d000.s03346.t00000 bn:00100668a
d000.s03347.t00000 bn:00100668a
d000.s03348.t00000 bn:00108634a
d000.s03349.t00000 bn:00101093a
d000.s03350.t00000 bn:00100309a
d000.s03351.t00000 bn:00100214a
d000.s03352.t00000 bn:00100214a
d000.s03353.t00000 bn:00100214a
d000.s03354.t00000 bn:00109046a
d000.s03355.t00000 bn:00109046a
d000.s03356.t00000 bn:00096898a
d000.s03357.t00000 bn:00101264a
d000.s03358.t00000 bn:00104696a
d000.s03359.t00000 bn:00100302a
d000.s03360.t00000 bn:00100302a
d000.s03361.t00000 bn:00112497a
d000.s03362.t00000 bn:00104867a
d000.s03363.t00000 bn:00101259a
d000.s03364.t00000 bn:00101259a
d000.s03365.t00000 bn:00100364a
d000.s03366.t00000 bn:00100139a
d000.s03367.t00000 bn:00100139a
d000.s03368.t00000 bn:00111059a
d000.s03369.t00000 bn:00100385a
d000.s03370.t00000 bn:00100385a
d000.s03371.t00000 bn:00000996n
d000.s03372.t00000 bn:00103925a
d000.s03373.t00000 bn:00100416a
d000.s03374.t00000 bn:00100416a
d000.s03375.t00000 bn:00100416a
d000.s03376.t00000 bn:00112514a
d000.s03377.t00000 bn:00098477a
d000.s03378.t00000 bn:00098477a
d000.s03379.t00000 bn:00098848a
d000.s03380.t00000 bn:00101204a
d000.s03381.t00000 bn:00101204a
d000.s03382.t00000 bn:00097385a
d000.s03383.t00000 bn:00096566a
d000.s03384.t00000 bn:00108568a
d000.s03385.t00000 bn:00063925n
d000.s03386.t00000 bn:00100490a
d000.s03387.t00000 bn:00100490a
d000.s03388.t00000 bn:00100490a
d000.s03389.t00000 bn:00100490a
d000.s03390.t00000 bn:00100490a
d000.s03391.t00000 bn:00096293a
d000.s03392.t00000 bn:00104880a
d000.s03393.t00000 bn:00104880a
d000.s03394.t00000 bn:00104880a
d000.s03395.t00000 bn:00104880a
d000.s03396.t00000 bn:00104880a
d000.s03397.t00000 bn:00104880a
d000.s03398.t00000 bn:00102384a
d000.s03399.t00000 bn:00100504a
d000.s03400.t00000 bn:00100504a
d000.s03401.t00000 bn:00100316a
d000.s03402.t00000 bn:00100622a
d000.s03403.t00000 bn:00098214a
d000.s03404.t00000 bn:00098214a
d000.s03405.t00000 bn:00100672a
d000.s03406.t00000 bn:00100896a
d000.s03407.t00000 bn:00100896a
d000.s03408.t00000 bn:00100896a
d000.s03409.t00000 bn:00100896a
d000.s03410.t00000 bn:00100896a
d000.s03411.t00000 bn:00100896a
d000.s03412.t00000 bn:00095976a
d000.s03413.t00000 bn:00095976a
d000.s03414.t00000 bn:00107621a
d000.s03415.t00000 bn:00107621a
d000.s03416.t00000 bn:00100361a
d000.s03417.t00000 bn:00111999a
d000.s03418.t00000 bn:00111999a
d000.s03419.t00000 bn:00102231a
d000.s03420.t00000 bn:00102231a
d000.s03421.t00000 bn:00104266a
d000.s03422.t00000 bn:00107328a
d000.s03423.t00000 bn:00105231a
d000.s03424.t00000 bn:00104907a
d000.s03425.t00000 bn:00104907a
d000.s03426.t00000 bn:00078931n
d000.s03427.t00000 bn:00098737a
d000.s03428.t00000 bn:00101082a
d000.s03429.t00000 bn:00101082a
d000.s03430.t00000 bn:00098608a
d000.s03431.t00000 bn:00098608a
d000.s03432.t00000 bn:00098608a
d000.s03433.t00000 bn:00098832a
d000.s03434.t00000 bn:00098832a
d000.s03435.t00000 bn:00101123a
d000.s03436.t00000 bn:00101123a
d000.s03437.t00000 bn:00101123a
d000.s03438.t00000 bn:00101123a
d000.s03439.t00000 bn:00112395a
d000.s03440.t00000 bn:00101148a
d000.s03441.t00000 bn:00101148a
d000.s03442.t00000 bn:00112566a
d000.s03443.t00000 bn:00112018a
d000.s03444.t00000 bn:00097433a
d000.s03445.t00000 bn:00097433a
d000.s03446.t00000 bn:00097433a
d000.s03447.t00000 bn:00097433a
d000.s03448.t00000 bn:00097433a
d000.s03449.t00000 bn:00097433a
d000.s03450.t00000 bn:00099235a
d000.s03451.t00000 bn:00099235a
d000.s03452.t00000 bn:00099235a
d000.s03453.t00000 bn:00101236a
d000.s03454.t00000 bn:00101236a
d000.s03455.t00000 bn:00101236a
d000.s03456.t00000 bn:00101087a
d000.s03457.t00000 bn:00101087a
d000.s03458.t00000 bn:00101358a
d000.s03459.t00000 bn:00101358a
d000.s03460.t00000 bn:00101358a
d000.s03461.t00000 bn:00101358a
d000.s03462.t00000 bn:00097472a
d000.s03463.t00000 bn:00101973a
d000.s03464.t00000 bn:00101973a
d000.s03465.t00000 bn:00101973a
d000.s03466.t00000 bn:00101973a
d000.s03467.t00000 bn:00101973a
d000.s03468.t00000 bn:00101973a
d000.s03469.t00000 bn:00101375a
d000.s03470.t00000 bn:00101375a
d000.s03471.t00000 bn:00107204a
d000.s03472.t00000 bn:00107204a
d000.s03473.t00000 bn:00101384a
d000.s03474.t00000 bn:00112623a
d000.s03475.t00000 bn:00113193a
d000.s03476.t00000 bn:00113192a
d000.s03477.t00000 bn:00101411a
d000.s03478.t00000 bn:00101411a
d000.s03479.t00000 bn:00101411a
d000.s03480.t00000 bn:00101413a
d000.s03481.t00000 bn:00101413a
d000.s03482.t00000 bn:00101413a
d000.s03483.t00000 bn:00101493a
d000.s03484.t00000 bn:00101493a
d000.s03485.t00000 bn:00103685a
d000.s03486.t00000 bn:00104969a
d000.s03487.t00000 bn:00104969a
d000.s03488.t00000 bn:00104969a
d000.s03489.t00000 bn:00101643a
d000.s03490.t00000 bn:00101643a
d000.s03491.t00000 bn:00105179a
d000.s03492.t00000 bn:00110735a
d000.s03493.t00000 bn:00110735a
d000.s03494.t00000 bn:00101836a
d000.s03495.t00000 bn:00101836a
d000.s03496.t00000 bn:00098312a
d000.s03497.t00000 bn:00098312a
d000.s03498.t00000 bn:00098632a
d000.s03499.t00000 bn:00104398a
d000.s03500.t00000 bn:00101917a
d000.s03501.t00000 bn:00101917a
d000.s03502.t00000 bn:00101917a
d000.s03503.t00000 bn:00101822a
d000.s03504.t00000 bn:00101930a
d000.s03505.t00000 bn:00101930a
d000.s03506.t00000 bn:00101930a
d000.s03507.t00000 bn:00101930a
d000.s03508.t00000 bn:00101930a
d000.s03509.t00000 bn:00101935a
d000.s03510.t00000 bn:00101935a
d000.s03511.t00000 bn:00101935a
d000.s03512.t00000 bn:00101935a
d000.s03513.t00000 bn:00101935a
d000.s03514.t00000 bn:00108952a
d000.s03515.t00000 bn:00105751a
d000.s03516.t00000 bn:00105751a
d000.s03517.t00000 bn:00105751a
d000.s03518.t00000 bn:00108842a
d000.s03519.t00000 bn:00107274a
d000.s03520.t00000 bn:00105755a
d000.s03521.t00000 bn:00105755a
d000.s03522.t00000 bn:00105755a
d000.s03523.t00000 bn:00112664a
d000.s03524.t00000 bn:00112664a
d000.s03525.t00000 bn:00101967a
d000.s03526.t00000 bn:00113815a
d000.s03527.t00000 bn:00102038a
d000.s03528.t00000 bn:00102038a
d000.s03529.t00000 bn:00102038a
d000.s03530.t00000 bn:00102038a
d000.s03531.t00000 bn:00102038a
d000.s03532.t00000 bn:00102038a
d000.s03533.t00000 bn:00097471a
d000.s03534.t00000 bn:00097471a
d000.s03535.t00000 bn:00102052a
d000.s03536.t00000 bn:00103195a
d000.s03537.t00000 bn:00103195a
d000.s03538.t00000 bn:00103195a
d000.s03539.t00000 bn:00103195a
d000.s03540.t00000 bn:00103197a
d000.s03541.t00000 bn:00104666a
d000.s03542.t00000 bn:00102068a
d000.s03543.t00000 bn:00102068a
d000.s03544.t00000 bn:00100173a
d000.s03545.t00000 bn:00102171a
d000.s03546.t00000 bn:00102171a
d000.s03547.t00000 bn:00102171a
d000.s03548.t00000 bn:00102171a
d000.s03549.t00000 bn:00111806a
d000.s03550.t00000 bn:00103211a
d000.s03551.t00000 bn:00103211a
d000.s03552.t00000 bn:00104915a
d000.s03553.t00000 bn:00104915a
d000.s03554.t00000 bn:00106040a
d000.s03555.t00000 bn:00102276a
d000.s03556.t00000 bn:00102276a
d000.s03557.t00000 bn:00102276a
d000.s03558.t00000 bn:00097865a
d000.s03559.t00000 bn:00102336a
d000.s03560.t00000 bn:00102336a
d000.s03561.t00000 bn:00096934a
d000.s03562.t00000 bn:00096934a
d000.s03563.t00000 bn:00096934a
d000.s03564.t00000 bn:00096934a
d000.s03565.t00000 bn:00102037a
d000.s03566.t00000 bn:00102397a
d000.s03567.t00000 bn:00102557a
d000.s03568.t00000 bn:00113632a
d000.s03569.t00000 bn:00113632a
d000.s03570.t00000 bn:00096475a
d000.s03571.t00000 bn:00096475a
d000.s03572.t00000 bn:00108339a
d000.s03573.t00000 bn:00108339a
d000.s03574.t00000 bn:00108339a
d000.s03575.t00000 bn:00112697a
d000.s03576.t00000 bn:00103058a
d000.s03577.t00000 bn:00103058a
d000.s03578.t00000 bn:00108443a
d000.s03579.t00000 bn:00109874a
d000.s03580.t00000 bn:00101837a
d000.s03581.t00000 bn:00101837a
d000.s03582.t00000 bn:00102509a
d000.s03583.t00000 bn:00112714a
d000.s03584.t00000 bn:00112714a
d000.s03585.t00000 bn:00100545a
d000.s03586.t00000 bn:00100545a
d000.s03587.t00000 bn:00100545a
d000.s03588.t00000 bn:00099557a
d000.s03589.t00000 bn:00099557a
d000.s03590.t00000 bn:00105369a
d000.s03591.t00000 bn:00102588a
d000.s03592.t00000 bn:00104853a
d000.s03593.t00000 bn:00104853a
d000.s03594.t00000 bn:00102589a
d000.s03595.t00000 bn:00102589a
d000.s03596.t00000 bn:00102589a
d000.s03597.t00000 bn:00104674a
d000.s03598.t00000 bn:00104674a
d000.s03599.t00000 bn:00104674a
d000.s03600.t00000 bn:00104674a
d000.s03601.t00000 bn:00104921a
d000.s03602.t00000 bn:00104921a
d000.s03603.t00000 bn:00107853a
d000.s03604.t00000 bn:00107853a
d000.s03605.t00000 bn:00108676a
d000.s03606.t00000 bn:00108676a
d000.s03607.t00000 bn:00108676a
d000.s03608.t00000 bn:00108676a
d000.s03609.t00000 bn:00113056a
d000.s03610.t00000 bn:00113056a
d000.s03611.t00000 bn:00113056a
d000.s03612.t00000 bn:00102719a
d000.s03613.t00000 bn:00102719a
d000.s03614.t00000 bn:00102719a
d000.s03615.t00000 bn:00102719a
d000.s03616.t00000 bn:00102719a
d000.s03617.t00000 bn:00099787a
d000.s03618.t00000 bn:00099787a
d000.s03619.t00000 bn:00099560a
d000.s03620.t00000 bn:00099560a
d000.s03621.t00000 bn:00102356a
d000.s03622.t00000 bn:00105016a
d000.s03623.t00000 bn:00105042a
d000.s03624.t00000 bn:00105042a
d000.s03625.t00000 bn:00105042a
d000.s03626.t00000 bn:00105042a
d000.s03627.t00000 bn:00102758a
d000.s03628.t00000 bn:00102758a
d000.s03629.t00000 bn:00096348a
d000.s03630.t00000 bn:00111281a
d000.s03631.t00000 bn:00111281a
d000.s03632.t00000 bn:00111281a
d000.s03633.t00000 bn:00100783a
d000.s03634.t00000 bn:00100783a
d000.s03635.t00000 bn:00102559a
d000.s03636.t00000 bn:00102559a
d000.s03637.t00000 bn:00102559a
d000.s03638.t00000 bn:00102470a
d000.s03639.t00000 bn:00102799a
d000.s03640.t00000 bn:00102799a
d000.s03641.t00000 bn:00099763a
d000.s03642.t00000 bn:00111346a
d000.s03643.t00000 bn:00111346a
d000.s03644.t00000 bn:00102802a
d000.s03645.t00000 bn:00102802a
d000.s03646.t00000 bn:00102802a
d000.s03647.t00000 bn:00102802a
d000.s03648.t00000 bn:00109438a
d000.s03649.t00000 bn:00109438a
d000.s03650.t00000 bn:00109438a
d000.s03651.t00000 bn:00110742a
d000.s03652.t00000 bn:00102822a
d000.s03653.t00000 bn:00100969a
d000.s03654.t00000 bn:00100970a
d000.s03655.t00000 bn:00100970a
d000.s03656.t00000 bn:00100970a
d000.s03657.t00000 bn:00104899a
d000.s03658.t00000 bn:00104899a
d000.s03659.t00000 bn:00096545a
d000.s03660.t00000 bn:00096545a
d000.s03661.t00000 bn:00105063a
d000.s03662.t00000 bn:00105064a
d000.s03663.t00000 bn:00105064a
d000.s03664.t00000 bn:00105065a
d000.s03665.t00000 bn:00110246a
d000.s03666.t00000 bn:00110246a
d000.s03667.t00000 bn:00103018a
d000.s03668.t00000 bn:00103018a
d000.s03669.t00000 bn:00100661a
d000.s03670.t00000 bn:00109871a
d000.s03671.t00000 bn:00109871a
d000.s03672.t00000 bn:00109871a
d000.s03673.t00000 bn:00109871a
d000.s03674.t00000 bn:00109871a
d000.s03675.t00000 bn:00105079a
d000.s03676.t00000 bn:00105079a
d000.s03677.t00000 bn:00103206a
d000.s03678.t00000 bn:00103206a
d000.s03679.t00000 bn:00103206a
d000.s03680.t00000 bn:00096774a
d000.s03681.t00000 bn:00096774a
d000.s03682.t00000 bn:00097805a
d000.s03683.t00000 bn:00101684a
d000.s03684.t00000 bn:00101684a
d000.s03685.t00000 bn:00096168a
d000.s03686.t00000 bn:00096168a
d000.s03687.t00000 bn:00109788a
d000.s03688.t00000 bn:00109788a
d000.s03689.t00000 bn:00103223a
d000.s03690.t00000 bn:00103223a
d000.s03691.t00000 bn:00103223a
d000.s03692.t00000 bn:00103223a
d000.s03693.t00000 bn:00103223a
d000.s03694.t00000 bn:00108823a
d000.s03695.t00000 bn:00099329a
d000.s03696.t00000 bn:00098485a
d000.s03697.t00000 bn:00105143a
d000.s03698.t00000 bn:00105143a
d000.s03699.t00000 bn:00103300a
d000.s03700.t00000 bn:00103300a
d000.s03701.t00000 bn:00103300a
d000.s03702.t00000 bn:00103299a
d000.s03703.t00000 bn:00103299a
d000.s03704.t00000 bn:00103299a
d000.s03705.t00000 bn:00103299a
d000.s03706.t00000 bn:00103299a
d000.s03707.t00000 bn:00103299a
d000.s03708.t00000 bn:00103299a
d000.s03709.t00000 bn:00103299a
d000.s03710.t00000 bn:00103324a
d000.s03711.t00000 bn:00103324a
d000.s03712.t00000 bn:00103326a
d000.s03713.t00000 bn:00109422a
d000.s03714.t00000 bn:00109422a
d000.s03715.t00000 bn:00098796a
d000.s03716.t00000 bn:00096591a
d000.s03717.t00000 bn:00096591a
d000.s03718.t00000 bn:00096591a
d000.s03719.t00000 bn:00096591a
d000.s03720.t00000 bn:00112777a
d000.s03721.t00000 bn:00112777a
d000.s03722.t00000 bn:00104498a
d000.s03723.t00000 bn:00103391a
d000.s03724.t00000 bn:00103391a
d000.s03725.t00000 bn:00112787a
d000.s03726.t00000 bn:00112911a
d000.s03727.t00000 bn:00112911a
d000.s03728.t00000 bn:00113864a
d000.s03729.t00000 bn:00113864a
d000.s03730.t00000 bn:00102209a
d000.s03731.t00000 bn:00103519a
d000.s03732.t00000 bn:00111226a
d000.s03733.t00000 bn:00101997a
d000.s03734.t00000 bn:00101997a
d000.s03735.t00000 bn:00104306a
d000.s03736.t00000 bn:00100554a
d000.s03737.t00000 bn:00100554a
d000.s03738.t00000 bn:00100554a
d000.s03739.t00000 bn:00103580a
d000.s03740.t00000 bn:00103672a
d000.s03741.t00000 bn:00103672a
d000.s03742.t00000 bn:00103672a
d000.s03743.t00000 bn:00103672a
d000.s03744.t00000 bn:00103672a
d000.s03745.t00000 bn:00103672a
d000.s03746.t00000 bn:00103672a
d000.s03747.t00000 bn:00103672a
d000.s03748.t00000 bn:00097966a
d000.s03749.t00000 bn:00097966a
d000.s03750.t00000 bn:00097966a
d000.s03751.t00000 bn:00097966a
d000.s03752.t00000 bn:00097966a
d000.s03753.t00000 bn:00097966a
d000.s03754.t00000 bn:00097966a
d000.s03755.t00000 bn:00097966a
d000.s03756.t00000 bn:00097966a
d000.s03757.t00000 bn:00096165a
d000.s03758.t00000 bn:00107162a
d000.s03759.t00000 bn:00102474a
d000.s03760.t00000 bn:00097977a
d000.s03761.t00000 bn:00101154a
d000.s03762.t00000 bn:00101247a
d000.s03763.t00000 bn:00100906a
d000.s03764.t00000 bn:00097895a
d000.s03765.t00000 bn:00099911a
d000.s03766.t00000 bn:00099911a
d000.s03767.t00000 bn:00103716a
d000.s03768.t00000 bn:00111415a
d000.s03769.t00000 bn:00111415a
d000.s03770.t00000 bn:00111415a
d000.s03771.t00000 bn:00096188a
d000.s03772.t00000 bn:00096188a
d000.s03773.t00000 bn:00103751a
d000.s03774.t00000 bn:00103751a
d000.s03775.t00000 bn:00103751a
d000.s03776.t00000 bn:00101404a
d000.s03777.t00000 bn:00096751a
d000.s03778.t00000 bn:00103975a
d000.s03779.t00000 bn:00103975a
d000.s03780.t00000 bn:00105136a
d000.s03781.t00000 bn:00103974a
d000.s03782.t00000 bn:00103974a
d000.s03783.t00000 bn:00104023a
d000.s03784.t00000 bn:00104023a
d000.s03785.t00000 bn:00104023a
d000.s03786.t00000 bn:00104023a
d000.s03787.t00000 bn:00104023a
d000.s03788.t00000 bn:00107916a
d000.s03789.t00000 bn:00107916a
d000.s03790.t00000 bn:00104025a
d000.s03791.t00000 bn:00104025a
d000.s03792.t00000 bn:00101953a
d000.s03793.t00000 bn:00101953a
d000.s03794.t00000 bn:00101953a
d000.s03795.t00000 bn:00101953a
d000.s03796.t00000 bn:00104050a
d000.s03797.t00000 bn:00104050a
d000.s03798.t00000 bn:00105937a
d000.s03799.t00000 bn:00105937a
d000.s03800.t00000 bn:00104134a
d000.s03801.t00000 bn:00104286a
d000.s03802.t00000 bn:00111186a
d000.s03803.t00000 bn:00111186a
d000.s03804.t00000 bn:00104162a
d000.s03805.t00000 bn:00104162a
d000.s03806.t00000 bn:00104162a
d000.s03807.t00000 bn:00104162a
d000.s03808.t00000 bn:00104162a
d000.s03809.t00000 bn:00104162a
d000.s03810.t00000 bn:00110516a
d000.s03811.t00000 bn:00098116a
d000.s03812.t00000 bn:00104302a
d000.s03813.t00000 bn:00104302a
d000.s03814.t00000 bn:00101521a
d000.s03815.t00000 bn:00098491a
d000.s03816.t00000 bn:00101251a
d000.s03817.t00000 bn:00101479a
d000.s03818.t00000 bn:00104328a
d000.s03819.t00000 bn:00108482a
d000.s03820.t00000 bn:00108482a
d000.s03821.t00000 bn:00108482a
d000.s03822.t00000 bn:00105112a
d000.s03823.t00000 bn:00105112a
d000.s03824.t00000 bn:00096662a
d000.s03825.t00000 bn:00104348a
d000.s03826.t00000 bn:00104348a
d000.s03827.t00000 bn:00104348a
d000.s03828.t00000 bn:00099981a
d000.s03829.t00000 bn:00099981a
d000.s03830.t00000 bn:00099981a
d000.s03831.t00000 bn:00099981a
d000.s03832.t00000 bn:00099981a
d000.s03833.t00000 bn:00099981a
d000.s03834.t00000 bn:00111439a
d000.s03835.t00000 bn:00110415a
d000.s03836.t00000 bn:00110415a
d000.s03837.t00000 bn:00110415a
d000.s03838.t00000 bn:00099982a
d000.s03839.t00000 bn:00099982a
d000.s03840.t00000 bn:00099982a
d000.s03841.t00000 bn:00099982a
d000.s03842.t00000 bn:00099982a
d000.s03843.t00000 bn:00111463a
d000.s03844.t00000 bn:00111463a
d000.s03845.t00000 bn:00111463a
d000.s03846.t00000 bn:00098164a
d000.s03847.t00000 bn:00098164a
d000.s03848.t00000 bn:00099989a
d000.s03849.t00000 bn:00104404a
d000.s03850.t00000 bn:00104404a
d000.s03851.t00000 bn:00104404a
d000.s03852.t00000 bn:00097006a
d000.s03853.t00000 bn:00097006a
d000.s03854.t00000 bn:00097006a
d000.s03855.t00000 bn:00097006a
d000.s03856.t00000 bn:00097006a
d000.s03857.t00000 bn:00097006a
d000.s03858.t00000 bn:00104206a
d000.s03859.t00000 bn:00104407a
d000.s03860.t00000 bn:00111852a
d000.s03861.t00000 bn:00102807a
d000.s03862.t00000 bn:00102807a
d000.s03863.t00000 bn:00099598a
d000.s03864.t00000 bn:00099598a
d000.s03865.t00000 bn:00099598a
d000.s03866.t00000 bn:00111286a
d000.s03867.t00000 bn:00111286a
d000.s03868.t00000 bn:00111286a
d000.s03869.t00000 bn:00104701a
d000.s03870.t00000 bn:00104990a
d000.s03871.t00000 bn:00100352a
d000.s03872.t00000 bn:00097536a
d000.s03873.t00000 bn:00097536a
d000.s03874.t00000 bn:00102757a
d000.s03875.t00000 bn:00102757a
d000.s03876.t00000 bn:00105122a
d000.s03877.t00000 bn:00099796a
d000.s03878.t00000 bn:00099796a
d000.s03879.t00000 bn:00098519a
d000.s03880.t00000 bn:00098519a
d000.s03881.t00000 bn:00112877a
d000.s03882.t00000 bn:00105243a
d000.s03883.t00000 bn:00105243a
d000.s03884.t00000 bn:00098710a
d000.s03885.t00000 bn:00111343a
d000.s03886.t00000 bn:00096263a
d000.s03887.t00000 bn:00102644a
d000.s03888.t00000 bn:00102664a
d000.s03889.t00000 bn:00102664a
d000.s03890.t00000 bn:00102664a
d000.s03891.t00000 bn:00103601a
d000.s03892.t00000 bn:00103601a
d000.s03893.t00000 bn:00103601a
d000.s03894.t00000 bn:00110036a
d000.s03895.t00000 bn:00110036a
d000.s03896.t00000 bn:00098466a
d000.s03897.t00000 bn:00110928a
d000.s03898.t00000 bn:00105552a
d000.s03899.t00000 bn:00102909a
d000.s03900.t00000 bn:00110095a
d000.s03901.t00000 bn:00103535a
d000.s03902.t00000 bn:00099411a
d000.s03903.t00000 bn:00099411a
d000.s03904.t00000 bn:00099411a
d000.s03905.t00000 bn:00099411a
d000.s03906.t00000 bn:00105853a
d000.s03907.t00000 bn:00112923a
d000.s03908.t00000 bn:00112923a
d000.s03909.t00000 bn:00112923a
d000.s03910.t00000 bn:00112923a
d000.s03911.t00000 bn:00108127a
d000.s03912.t00000 bn:00098342a
d000.s03913.t00000 bn:00098342a
d000.s03914.t00000 bn:00098342a
d000.s03915.t00000 bn:00098342a
d000.s03916.t00000 bn:00098342a
d000.s03917.t00000 bn:00098342a
d000.s03918.t00000 bn:00098342a
d000.s03919.t00000 bn:00098342a
d000.s03920.t00000 bn:00098342a
d000.s03921.t00000 bn:00098891a
d000.s03922.t00000 bn:00098891a
d000.s03923.t00000 bn:00100042a
d000.s03924.t00000 bn:00100042a
d000.s03925.t00000 bn:00102302a
d000.s03926.t00000 bn:00102302a
d000.s03927.t00000 bn:00098905a
d000.s03928.t00000 bn:00098905a
d000.s03929.t00000 bn:00105729a
d000.s03930.t00000 bn:00113671a
d000.s03931.t00000 bn:00104562a
d000.s03932.t00000 bn:00105857a
d000.s03933.t00000 bn:00104563a
d000.s03934.t00000 bn:00105977a
d000.s03935.t00000 bn:00096782a
d000.s03936.t00000 bn:00096782a
d000.s03937.t00000 bn:00105981a
d000.s03938.t00000 bn:00105981a
d000.s03939.t00000 bn:00105981a
d000.s03940.t00000 bn:00105981a
d000.s03941.t00000 bn:00105981a
d000.s03942.t00000 bn:00105981a
d000.s03943.t00000 bn:00105981a
d000.s03944.t00000 bn:00105982a
d000.s03945.t00000 bn:00105982a
d000.s03946.t00000 bn:00104703a
d000.s03947.t00000 bn:00104703a
d000.s03948.t00000 bn:00108731a
d000.s03949.t00000 bn:00106069a
d000.s03950.t00000 bn:00112943a
d000.s03951.t00000 bn:00102310a
d000.s03952.t00000 bn:00108220a
d000.s03953.t00000 bn:00102208a
d000.s03954.t00000 bn:00106117a
d000.s03955.t00000 bn:00106125a
d000.s03956.t00000 bn:00106125a
d000.s03957.t00000 bn:00106125a
d000.s03958.t00000 bn:00106125a
d000.s03959.t00000 bn:00106124a
d000.s03960.t00000 bn:00106124a
d000.s03961.t00000 bn:00106124a
d000.s03962.t00000 bn:00106124a
d000.s03963.t00000 bn:00106124a
d000.s03964.t00000 bn:00106124a
d000.s03965.t00000 bn:00106124a
d000.s03966.t00000 bn:00102212a
d000.s03967.t00000 bn:00102212a
d000.s03968.t00000 bn:00102212a
d000.s03969.t00000 bn:00110561a
d000.s03970.t00000 bn:00110561a
d000.s03971.t00000 bn:00110561a
d000.s03972.t00000 bn:00110561a
d000.s03973.t00000 bn:00110561a
d000.s03974.t00000 bn:00098854a
d000.s03975.t00000 bn:00100687a
d000.s03976.t00000 bn:00100687a
d000.s03977.t00000 bn:00106801a
d000.s03978.t00000 bn:00096164a
d000.s03979.t00000 bn:00096164a
d000.s03980.t00000 bn:00096164a
d000.s03981.t00000 bn:00098277a
d000.s03982.t00000 bn:00106204a
d000.s03983.t00000 bn:00106204a
d000.s03984.t00000 bn:00096597a
d000.s03985.t00000 bn:00096597a
d000.s03986.t00000 bn:00096921a
d000.s03987.t00000 bn:00106199a
d000.s03988.t00000 bn:00106251a
d000.s03989.t00000 bn:00106319a
d000.s03990.t00000 bn:00106321a
d000.s03991.t00000 bn:00106768a
d000.s03992.t00000 bn:00106354a
d000.s03993.t00000 bn:00106354a
d000.s03994.t00000 bn:00102884a
d000.s03995.t00000 bn:00102884a
d000.s03996.t00000 bn:00109674a
d000.s03997.t00000 bn:00110668a
d000.s03998.t00000 bn:00110668a
d000.s03999.t00000 bn:00106355a
d000.s04000.t00000 bn:00106355a
d000.s04001.t00000 bn:00113395a
d000.s04002.t00000 bn:00096515a
d000.s04003.t00000 bn:00096515a
d000.s04004.t00000 bn:00103788a
d000.s04005.t00000 bn:00106517a
d000.s04006.t00000 bn:00106517a
d000.s04007.t00000 bn:00106755a
d000.s04008.t00000 bn:00106755a
d000.s04009.t00000 bn:00106755a
d000.s04010.t00000 bn:00106527a
d000.s04011.t00000 bn:00106527a
d000.s04012.t00000 bn:00106528a
d000.s04013.t00000 bn:00106528a
d000.s04014.t00000 bn:00106528a
d000.s04015.t00000 bn:00106531a
d000.s04016.t00000 bn:00104592a
d000.s04017.t00000 bn:00104568a
d000.s04018.t00000 bn:00106535a
d000.s04019.t00000 bn:00106539a
d000.s04020.t00000 bn:00106539a
d000.s04021.t00000 bn:00106539a
d000.s04022.t00000 bn:00106612a
d000.s04023.t00000 bn:00106612a
d000.s04024.t00000 bn:00106614a
d000.s04025.t00000 bn:00106614a
d000.s04026.t00000 bn:00106614a
d000.s04027.t00000 bn:00103534a
d000.s04028.t00000 bn:00103534a
d000.s04029.t00000 bn:00103534a
d000.s04030.t00000 bn:00102658a
d000.s04031.t00000 bn:00102658a
d000.s04032.t00000 bn:00102658a
d000.s04033.t00000 bn:00102658a
d000.s04034.t00000 bn:00102658a
d000.s04035.t00000 bn:00102943a
d000.s04036.t00000 bn:00112253a
d000.s04037.t00000 bn:00096385a
d000.s04038.t00000 bn:00096385a
d000.s04039.t00000 bn:00106817a
d000.s04040.t00000 bn:00106817a
d000.s04041.t00000 bn:00108815a
d000.s04042.t00000 bn:00102659a
d000.s04043.t00000 bn:00102659a
d000.s04044.t00000 bn:00102659a
d000.s04045.t00000 bn:00103699a
d000.s04046.t00000 bn:00030605n
d000.s04047.t00000 bn:00103064a
d000.s04048.t00000 bn:00106892a
d000.s04049.t00000 bn:00098377a
d000.s04050.t00000 bn:00105858a
d000.s04051.t00000 bn:00105623a
d000.s04052.t00000 bn:00105269a
d000.s04053.t00000 bn:00105269a
d000.s04054.t00000 bn:00113937a
d000.s04055.t00000 bn:00113937a
d000.s04056.t00000 bn:00105294a
d000.s04057.t00000 bn:00105294a
d000.s04058.t00000 bn:00105294a
